from_file,line,link_snippet,resolved_target
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_PHASE2_SUMMARY.md,276,[docs/archive/2025-10/moves_2025-10-phase2.csv](archive/2025-10/moves_2025-10-phase2.csv),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/moves_2025-10-phase2.csv
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,116,[README.md](../README.md),/home/uday/Downloads/pragati_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,161,[../README.md](../README.md),/home/uday/Downloads/pragati_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,164,[scripts/test_integration.sh](scripts/test_integration.sh),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-21/scripts/test_integration.sh
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,165,[guides/](guides/),/home/uday/Downloads/pragati_ros2/docs/guides
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,166,[archive/](archive/),/home/uday/Downloads/pragati_ros2/docs/archive
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,18,[`../README.md`](../README.md),/home/uday/Downloads/pragati_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,42,[`guides/RESTORATION_NEXT_STEPS.md`](guides/RESTORATION_NEXT_STEPS.md),/home/uday/Downloads/pragati_ros2/docs/guides/RESTORATION_NEXT_STEPS.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,43,[`guides/CLEANUP_AND_MAINTENANCE_PLAN.md`](guides/CLEANUP_AND_MAINTENANCE_PLAN.md),/home/uday/Downloads/pragati_ros2/docs/guides/CLEANUP_AND_MAINTENANCE_PLAN.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,52,[`validation/HARDWARE_TEST_RESULTS.md`](validation/HARDWARE_TEST_RESULTS.md),/home/uday/Downloads/pragati_ros2/docs/validation/HARDWARE_TEST_RESULTS.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,67,[`archive/2025-10/consolidation-meta/`](archive/2025-10/consolidation-meta/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,68,[`archive/2025-10/completion-reports/`](archive/2025-10/completion-reports/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,69,[`archive/2025-10/session-summaries/`](archive/2025-10/session-summaries/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/session-summaries
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,70,[`archive/2025-10/execution-plans/`](archive/2025-10/execution-plans/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/execution-plans
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,71,[`archive/2025-10/stakeholder-docs/`](archive/2025-10/stakeholder-docs/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,72,[`archive/2025-10/superseded/`](archive/2025-10/superseded/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/superseded
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,73,[`archive/2025-10/generated-reports/`](archive/2025-10/generated-reports/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,76,[`archive/2025-10/motor_control/`](archive/2025-10/motor_control/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,77,[`archive/2025-10/cotton_detection/`](archive/2025-10/cotton_detection/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/cotton_detection
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,78,[`archive/2025-10/yanthra_move/`](archive/2025-10/yanthra_move/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/yanthra_move
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,79,[`archive/2025-10/phase-completion/`](archive/2025-10/phase-completion/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/phase-completion
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,80,[`archive/2025-10/tier-completion/`](archive/2025-10/tier-completion/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/tier-completion
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATION_LOG.md,227,[archive/2025-10/moves_2025-10-phase2.csv](archive/2025-10/moves_2025-10-phase2.csv),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/moves_2025-10-phase2.csv
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_ROUND3_SUMMARY_2025-10-16.md,233,[docs/archive/2025-10/consolidation-meta/CONTENT_INDEX_2025-10-16.tsv](archive/2025-10/consolidation-meta/CONTENT_INDEX_2025-10-16.tsv),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/CONTENT_INDEX_2025-10-16.tsv
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_ROUND3_SUMMARY_2025-10-16.md,234,[docs/archive/2025-10/consolidation-meta/PRESERVATION_MAP_UNDERSCORE_2025-10-16.tsv](archive/2025-10/consolidation-meta/PRESERVATION_MAP_UNDERSCORE_2025-10-16.tsv),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/PRESERVATION_MAP_UNDERSCORE_2025-10-16.tsv
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,65,[src/motor_control_ros2/README.md](../../src/motor_control_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/motor_control_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,90,[src/cotton_detection_ros2/README.md](../../src/cotton_detection_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/cotton_detection_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,113,[src/yanthra_move/README.md](../../src/yanthra_move/README.md),/home/uday/Downloads/pragati_ros2/src/yanthra_move/README.md
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,135,[src/vehicle_control/README.md](../../src/vehicle_control/README.md),/home/uday/Downloads/pragati_ros2/src/vehicle_control/README.md
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,151,[src/robot_description/README.md](../../src/robot_description/README.md),/home/uday/Downloads/pragati_ros2/src/robot_description/README.md
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,316,[docs/archive/2025-10/motor_control/](../archive/2025-10/motor_control/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,317,[docs/archive/2025-10/cotton_detection/](../archive/2025-10/cotton_detection/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/cotton_detection
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,318,[docs/archive/2025-10/yanthra_move/](../archive/2025-10/yanthra_move/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/yanthra_move
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,321,[docs/evidence/2025-10-15/](../evidence/2025-10-15/),/home/uday/Downloads/pragati_ros2/docs/evidence/2025-10-15
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,404,[DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md](../DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md),/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,15,[2025-10/](2025-10/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,16,[2025-10/](2025-10/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,17,[2025-10-audit/](2025-10-audit/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,18,[2025-10-analysis/](2025-10-analysis/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,19,[2025-10-phases/](2025-10-phases/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-phases
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,20,[2025-10-sessions/](2025-10-sessions/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-sessions
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,21,[2025-10-test-results/](2025-10-test-results/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,22,[2025-10-validation/](2025-10-validation/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,37,[2025-10/motor_control/](2025-10/motor_control/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,46,[src/motor_control_ros2/README.md](../../src/motor_control_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/motor_control_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,51,[2025-10/cotton_detection/](2025-10/cotton_detection/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/cotton_detection
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,56,[src/cotton_detection_ros2/README.md](../../src/cotton_detection_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/cotton_detection_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,61,[2025-10/yanthra_move/](2025-10/yanthra_move/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/yanthra_move
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,67,[src/yanthra_move/README.md](../../src/yanthra_move/README.md),/home/uday/Downloads/pragati_ros2/src/yanthra_move/README.md
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,74,[2025-10/phase-completion/](2025-10/phase-completion/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/phase-completion
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,91,[2025-10/tier-completion/](2025-10/tier-completion/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/tier-completion
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,108,[2025-10-audit/2025-10-07/](2025-10-audit/2025-10-07/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,124,[2025-10-audit/2025-10-14/](2025-10-audit/2025-10-14/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,140,[2025-10-analysis/](2025-10-analysis/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,156,[ros1_vs_ros2_comparison/](2025-10-analysis/ros1_vs_ros2_comparison/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,162,[2025-10-test-results/](2025-10-test-results/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,178,[2025-10-validation/](2025-10-validation/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,193,[Root archive/](.),/home/uday/Downloads/pragati_ros2/docs/archive
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,208,[2025-10/motor_control/](2025-10/motor_control/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,210,[2025-10-test-results/](2025-10-test-results/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-test-results
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,213,[2025-10/cotton_detection/](2025-10/cotton_detection/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/cotton_detection
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,218,[2025-10/phase-completion/](2025-10/phase-completion/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/phase-completion
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,219,[2025-10/tier-completion/](2025-10/tier-completion/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/tier-completion
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,224,[2025-10-audit/](2025-10-audit/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,225,[2025-10-validation/](2025-10-validation/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-validation
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,301,[../DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md](../DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md),/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,303,[../CONSOLIDATION_MAP.md](../CONSOLIDATION_MAP.md),/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATION_MAP.md
/home/uday/Downloads/pragati_ros2/docs/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md,435,[.*\](.*.md),/home/uday/Downloads/pragati_ros2/docs/project-management/.*.md
/home/uday/Downloads/pragati_ros2/docs/enhancements/PHASE_2_ROADMAP.md,192,[Multi-Cotton Detection](MULTI_COTTON_DETECTION.md),/home/uday/Downloads/pragati_ros2/docs/enhancements/MULTI_COTTON_DETECTION.md
/home/uday/Downloads/pragati_ros2/docs/enhancements/PHASE_2_ROADMAP.md,193,[Continuous Operation](CONTINUOUS_OPERATION.md),/home/uday/Downloads/pragati_ros2/docs/enhancements/CONTINUOUS_OPERATION.md
/home/uday/Downloads/pragati_ros2/docs/enhancements/PHASE_2_ROADMAP.md,194,[Autonomous Navigation](AUTONOMOUS_NAVIGATION.md),/home/uday/Downloads/pragati_ros2/docs/enhancements/AUTONOMOUS_NAVIGATION.md
/home/uday/Downloads/pragati_ros2/docs/guides/UNIT_TEST_GUIDE.md,465,[&](const auto& msg),/home/uday/Downloads/pragati_ros2/docs/guides/const auto& msg
/home/uday/Downloads/pragati_ros2/docs/guides/UNIT_TEST_GUIDE.md,545,[src/motor_control_ros2/README.md](../../src/motor_control_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/motor_control_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/guides/UNIT_TEST_GUIDE.md,546,[src/cotton_detection_ros2/README.md](../../src/cotton_detection_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/cotton_detection_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/guides/TROUBLESHOOTING.md,600,[src/motor_control_ros2/README.md](../../src/motor_control_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/motor_control_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/guides/TROUBLESHOOTING.md,601,[src/cotton_detection_ros2/README.md](../../src/cotton_detection_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/cotton_detection_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/guides/TROUBLESHOOTING.md,602,[src/yanthra_move/README.md](../../src/yanthra_move/README.md),/home/uday/Downloads/pragati_ros2/src/yanthra_move/README.md
/home/uday/Downloads/pragati_ros2/docs/guides/PERFORMANCE_OPTIMIZATION_IMPLEMENTATION.md,156,[this](std::vector<YOLODetector::DetectedCotton> detections),/home/uday/Downloads/pragati_ros2/docs/guides/std::vector<YOLODetector::DetectedCotton> detections
/home/uday/Downloads/pragati_ros2/docs/architecture/SYSTEM_ARCHITECTURE.md,426,[motor_control_ros2](../../src/motor_control_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/motor_control_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/architecture/SYSTEM_ARCHITECTURE.md,427,[cotton_detection_ros2](../../src/cotton_detection_ros2/README.md),/home/uday/Downloads/pragati_ros2/src/cotton_detection_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/architecture/SYSTEM_ARCHITECTURE.md,428,[yanthra_move](../../src/yanthra_move/README.md),/home/uday/Downloads/pragati_ros2/src/yanthra_move/README.md
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_obsolete.md,224,[docs/archive/2025-10-audit/2025-10-14/todo_inventory.csv](../2025-10-audit/2025-10-14/todo_inventory.csv),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/todo_inventory.csv
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_obsolete.md,225,[docs/archive/2025-10-audit/2025-10-14/todo_full_raw.txt](../2025-10-audit/2025-10-14/todo_full_raw.txt),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/todo_full_raw.txt
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_obsolete.md,226,[docs/TODO_CONSOLIDATED.md](../../TODO_CONSOLIDATED.md),/home/uday/Downloads/pragati_ros2/docs/TODO_CONSOLIDATED.md
