path,title,last_updated,audience,purpose
BUILD_OPTIMIZATION_GUIDE.md,Build Optimization Guide,,,
CALIBRATION_GUIDE.md,Pragati Robot Calibration Guide,,,
CLEANUP_PHASE2_SUMMARY.md,Documentation Cleanup Phase 2 - Summary,,,
CLEANUP_ROUND3_SUMMARY_2025-10-16.md,Documentation Cleanup Round 3 - Content-Based Cleanup,,,
CONSOLIDATED_ROADMAP.md,Pragati ROS2 Consolidated Roadmap,,,
CONSOLIDATION_LOG.md,Documentation Consolidation Log,,,
CONSOLIDATION_SUMMARY.md,Documentation Consolidation Summary,,,
CONTRIBUTING_DOCS.md,Contributing to Documentation,,,
CPP_USAGE_GUIDE.md,Cotton Detection C++ Node - Usage Guide,,,
CPP_VS_PYTHON_RECOMMENDATION.md,C++ vs Python Implementation - Technical Assessment & Recommendation,,,
DOCUMENTATION_ORGANIZATION.md,Documentation Organization - Complete,,,
HARDWARE_TEST_CHECKLIST.md,Hardware Test Checklist - OAK-D Lite Cotton Detection,,,
INDEX.md,Pragati ROS2 Documentation Index,,,
MASTER_MIGRATION_STRATEGY.md,Master Migration Strategy: OAK-D Lite Integration,,,
OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,OAK-D Lite Hybrid Migration Plan: Preserving ROS2 Enhancements,,,
OAK_D_LITE_MIGRATION_ANALYSIS.md,OAK-D Lite Camera Migration Analysis: ROS1 to ROS2,,,
ODRIVE_TO_MG6010_MIGRATION_GUIDE.md,ODrive to MG6010-i6 Migration Guide,,,
PRODUCTION_READINESS_GAP.md,Production Readiness Gap Analysis,,,
README.md,Pragati Production System Documentation,,,
ROLLOUT_AND_RISK_MANAGEMENT.md,Rollout Strategy and Risk Management,,,
ROS2_INTERFACE_SPECIFICATION.md,ROS2 Interface Specification — `cotton_detection_ros2`,,,
SAFETY_MONITOR_EXPLANATION.md,SafetyMonitor - What It Does and Why It's Critical,,,Prevent motor/controller burnout
START_HERE.md,Pragati ROS2 Documentation - Start Here 🚀,,,
STATUS_REALITY_MATRIX.md,Pragati ROS2 Status Reality Matrix,,,
TESTING_AND_VALIDATION_PLAN.md,Testing and Validation Plan - OAK-D Lite Cotton Detection System,,,
THREE_MOTOR_SETUP_GUIDE.md,Three Motor Setup Guide - MG6010 Integration,,,
TODO_MASTER.md,TODO Master List - Pragati ROS2 Project,,,
TODO_MASTER_CONSOLIDATED.md,TODO Master List - Consolidated,,,
USB2_CONFIGURATION_GUIDE.md,USB2 Mode Configuration and Validation Guide,,,
YOLO_MODELS.md,YOLO Model Blobs for Cotton Detection,,,
architecture/SYSTEM_ARCHITECTURE.md,System Architecture - Pragati ROS2,,,
enhancements/PHASE_2_ROADMAP.md,Phase 2 Roadmap: Production-Ready System,,,
enhancements/WEB_DASHBOARD_ENHANCEMENT_PLAN.md,Web Dashboard Enhancement Plan,,,
evidence/2025-10-15/SAFETY_MONITOR_IMPLEMENTATION_COMPLETE.md,SafetyMonitor Implementation - COMPLETE ✅,,,
guides/API_DOCUMENTATION_GUIDE.md,API Documentation Generation Guide,,,
guides/AUTOMATION_SETUP.md,Automation Setup Guide,,,
guides/CAMERA_INTEGRATION_GUIDE.md,Camera Integration Guide,,,
guides/CAN_BUS_SETUP_GUIDE.md,CAN Bus Setup Guide,,,
guides/COTTON_DETECTION_MIGRATION_GUIDE.md,Cotton Detection Migration to ROS2 Topics - Implementation Guide,,,
guides/ERROR_HANDLING_GUIDE.md,Error Handling and Auto-Reconnect Guide,,,
guides/FAQ.md,Frequently Asked Questions (FAQ),,,
guides/FINAL_FIX_continuous_operation.md,FINAL FIX: Continuous Operation YAML Loading Issue,,,
guides/GAPS_AND_ACTION_PLAN.md,Pragati ROS2 - Gaps Analysis & Action Plan,,,
guides/GPIO_SETUP_GUIDE.md,GPIO Setup Guide,,,
guides/MOTOR_TUNING_GUIDE.md,Motor Tuning Guide,,,
guides/PERFORMANCE_CHECKLIST.md,Performance Optimization Checklist,,,
guides/PERFORMANCE_OPTIMIZATION_IMPLEMENTATION.md,Performance Optimization Implementation Guide,,,
guides/PHASES_2_TO_6_GUIDE.md,Implementation Guide for Phases 2-6,,,
guides/QUICK_REFERENCE.md,Pragati ROS2 Quick Reference,,,
guides/QUICK_START_continuous_operation.md,Quick Start: Enable Continuous Operation,,,
guides/RASPBERRY_PI_DEPLOYMENT_GUIDE.md,Pragati ROS2 - Raspberry Pi Deployment Guide,,,
guides/SAFETY_MONITOR_INTEGRATION_GUIDE.md,Safety Monitor Integration Guide,,,
guides/SCRIPTS_GUIDE.md,Pragati ROS2 Scripts Guide,,,
guides/SIMULATION_MODE_GUIDE.md,Simulation Mode Quickstart,,,
guides/START_SWITCH_TIMEOUT_GUIDE.md,START_SWITCH Timeout Guide,,,
guides/SYSTEM_LAUNCH_GUIDE.md,Pragati ROS2 System Launch Guide,,,
guides/TABLE_TOP_VALIDATION_GUIDE.md,Table-Top Validation Quick Reference Guide,,,
guides/TROUBLESHOOTING.md,Troubleshooting Guide - Pragati ROS2,,,
guides/UNIT_TEST_GUIDE.md,Unit Testing Guide - Pragati ROS2,,,
guides/hardware/HARDWARE_TESTING_QUICKSTART.md,Hardware Testing Quick Start Guide,,,
guides/hardware/RPi_FIX_INSTRUCTIONS.md,Raspberry Pi Disconnection Fix - Instructions,,,
guides/hardware/RPi_POWER_MGMT_FIX_SUMMARY.md,Raspberry Pi Power Management Fix - Summary Report,,,
guides/software/BUILD_VERIFICATION.md,Full Workspace Build Report,,,
integration/COTTON_DETECTION_INTEGRATION_COMPLETE.md,Cotton Detection ROS2 Integration - Implementation Complete,,,
integration/COTTON_DETECTION_INTEGRATION_README.md,Cotton Detection ROS2 Integration,,,
integration/INTEGRATION_COMPLETE_FINAL_SUMMARY.md,Cotton Detection ROS2 Integration - COMPLETE ✅,,,
integration/ODRIVE_TO_MG6010_MIGRATION.md,ODrive to MG6010 Migration Strategy,,,
maintenance/DOC_MAINTENANCE_POLICY.md,Documentation Maintenance Policy,,,
param_inventory.md,Parameter Inventory and Baseline Report,,,
production-system/01-SYSTEM_OVERVIEW.md,System Overview,,,
production-system/02-HARDWARE_ARCHITECTURE.md,Hardware Architecture & Startup,,,
production-system/03-COTTON_DETECTION.md,Cotton Detection & Multi-Cotton Picking,,,
production-system/06-REALTIME_CONTROL.md,Real-Time Control & ROS2 Communication,,,
production-system/07-SAFETY_SYSTEMS.md,Safety Systems & Error Handling,,,
production-system/08-CONFIGURATION.md,Configuration & Parameters,,,
production-system/09-OPERATOR_GUIDE.md,Operator Guide & Maintenance,,,
project-management/COMPLETION_CHECKLIST.md,Cotton Detection ROS2 Migration - Final Completion Checklist ✅,,,
project-management/DOCUMENTATION_REORGANIZATION_PLAN.md,Documentation Reorganization Plan,,,
project-management/IMPLEMENTATION_PLAN_OCT2025.md,Pragati ROS2 Refactoring & Enhancement Plan,,,
project-management/REORGANIZATION_PROGRESS.md,Documentation Reorganization Progress,,,
robot_description/CHANGELOG.md,Robot Description – Change Log & Validation Notes,,,
status/PROGRESS_2025-10-21.md,"Progress Summary - October 21, 2025",,,
status/SPRINT_COMPLETE.md,Software-Only Sprint - COMPLETE ✅,,,
status/STATUS_TRACKER.md,Pragati ROS2 - Project Status Tracker,,,
status/SW_SPRINT_FINAL_REPORT.md,Software Sprint Final Report,,,
status/SW_SPRINT_STATUS.md,Software-Only Sprint Status,,,
validation/COMPREHENSIVE_SYSTEM_VALIDATION_REPORT.md,PRAGATI ROS2 COMPREHENSIVE SYSTEM VALIDATION REPORT,,,
validation/VALIDATION_REPORT_UPDATES_2025-10-14.md,"COMPREHENSIVE_SYSTEM_VALIDATION_REPORT.md Updates - October 14, 2025",,,
